FECHA,TMAX,TMIN,NOMBRE
2024-01-30,38,21.5,TRENQUE LAUQUEN
2024-01-30,38,20.7,TRES ARROYOS
2024-01-30,37.2,20.7,TUCUMAN AERO
2024-01-30,17.2,7.4,USHUAIA AERO
2024-01-30,31.7,19,USPALLATA
2024-01-30,33,17,VENADO TUERTO AERO
2024-01-30,,21.7,VICTORICA
2024-01-30,,19.2,VIEDMA AERO
2024-01-30,37.1,16.4,VILLA DE MARIA DEL RIO SECO
2024-01-30,40.2,22.8,VILLA DOLORES AERO
2024-01-30,33.5,15.8,VILLA GESELL AERO
2024-01-30,38.8,17,VILLA REYNOLDS AERO
2024-01-29,29.3,23.4,AEROPARQUE AERO
2024-01-29,32.6,16.2,AZUL AERO
2024-01-29,39.2,20.2,BAHIA BLANCA AERO
2024-01-29,27.6,3.7,BARILOCHE AERO
2024-01-29,0.6,-5.1,BASE BELGRANO II
2024-01-29,4.4,0.9,BASE CARLINI (EX JUBANY)
2024-01-29,2.3,-2.8,BASE ESPERANZA
2024-01-29,-0.3,-4.7,BASE MARAMBIO
2024-01-29,6.7,1.2,BASE ORCADAS
2024-01-29,3,0.7,BASE SAN MARTIN
2024-01-29,32.3,18.1,BENITO JUAREZ AERO
2024-01-29,27.9,16.8,BERNARDO DE IRIGOYEN AERO
2024-01-29,34.1,16,BOLIVAR AERO
2024-01-29,31.6,23,BUENOS AIRES OBSERVATORIO
2024-01-29,31.5,18,CAMPO DE MAYO AERO
2024-01-29,39.5,25.8,CATAMARCA AERO
2024-01-29,35,17.3,CERES AERO
2024-01-29,,22.5,CHAMICAL AERO
2024-01-29,30.5,5.8,CHAPELCO AERO
2024-01-29,40,25,CHEPES
2024-01-29,37,20.3,CIPOLLETTI
2024-01-29,25.5,14.4,COMODORO RIVADAVIA AERO
2024-01-29,32.2,20,CONCORDIA AERO
2024-01-29,35,16.8,CORDOBA AERO
2024-01-29,36,22,CORDOBA OBSERVATORIO
2024-01-29,33.8,16.7,CORONEL SUAREZ AERO
2024-01-29,34.4,19,CORRIENTES AERO
2024-01-29,,19.1,DOLORES AERO
2024-01-29,30.6,4,EL BOLSON AERO
2024-01-29,23.4,7.5,EL CALAFATE AERO
2024-01-29,32,21,EL PALOMAR AERO
2024-01-29,,16,ESCUELA DE AVIACION MILITAR AERO
2024-01-29,25.9,5.5,ESQUEL AERO
2024-01-29,32,20.9,EZEIZA AERO
2024-01-29,35.9,19.9,FORMOSA AERO
2024-01-29,35.6,20,GENERAL PICO AERO
2024-01-29,25.5,10,GOBERNADOR GREGORES AERO
2024-01-29,32.5,21,GUALEGUAYCHU AERO
2024-01-29,33,19.1,IGUAZU AERO
2024-01-29,35,20.5,ITUZAINGO
2024-01-29,37.5,19.5,JACHAL
2024-01-29,34.4,19.2,JUJUY AERO
2024-01-29,30,16.2,JUJUY U N
2024-01-29,34.6,18,JUNIN AERO
2024-01-29,30.6,20.5,LA PLATA AERO
2024-01-29,21.4,7.7,LA QUIACA OBSERVATORIO
2024-01-29,41.4,25.1,LA RIOJA AERO
2024-01-29,33.6,16.1,LABOULAYE AERO
2024-01-29,33.5,16.3,LAS FLORES
2024-01-29,40.3,22.2,LAS LOMITAS
2024-01-29,33.2,14.9,MALARGUE AERO
2024-01-29,31.5,11.5,MAQUINCHAO
2024-01-29,28.4,15.7,MAR DEL PLATA AERO
2024-01-29,33.2,17.8,MARCOS JUAREZ AERO
2024-01-29,32,21.5,MARIANO MORENO AERO
2024-01-29,38,21.2,MENDOZA AERO
2024-01-29,35.6,21.2,MENDOZA OBSERVATORIO
2024-01-29,33,19,MERCEDES AERO (CTES)
2024-01-29,32,21,MERLO AERO
2024-01-29,34.1,18.5,METAN
2024-01-29,32.5,19.5,MONTE CASEROS AERO
2024-01-29,32.5,23.1,MORON AERO
2024-01-29,35.6,19.9,NEUQUEN AERO
2024-01-29,34.5,16.7,NUEVE DE JULIO
2024-01-29,34,20,OBERA
2024-01-29,33.2,16.5,OLAVARRIA AERO
2024-01-29,37.3,23.5,ORAN AERO
2024-01-29,32.4,19.5,PARANA AERO
2024-01-29,29.4,10.6,PASO DE INDIOS
2024-01-29,32.4,20.2,PASO DE LOS LIBRES AERO
2024-01-29,35.3,17.5,PEHUAJO AERO
2024-01-29,22.6,,PERITO MORENO AERO
2024-01-29,34.5,16.3,PIGUE AERO
2024-01-29,34.4,18.2,PILAR OBSERVATORIO
2024-01-29,34,21.7,POSADAS AERO
2024-01-29,37.5,17.5,PRESIDENCIA ROQUE SAENZ PEﾑA AERO
2024-01-29,26.5,14,PUERTO DESEADO AERO
2024-01-29,27.6,16.4,PUERTO MADRYN AERO
2024-01-29,27.5,20.5,PUNTA INDIO B.A.
2024-01-29,33.6,17.7,RAFAELA AERO
2024-01-29,33.2,20.3,RECONQUISTA AERO
2024-01-29,34.5,18.5,RESISTENCIA AERO
2024-01-29,32.9,17.2,RIO CUARTO AERO
2024-01-29,24.6,8.7,RIO GALLEGOS AERO
2024-01-29,21.5,10.2,RIO GRANDE B.A.
2024-01-29,43,23.3,RIVADAVIA
2024-01-29,32.7,18.4,ROSARIO AERO
2024-01-29,31,16.1,SALTA AERO
2024-01-29,26.5,18.5,SAN ANTONIO OESTE AERO
2024-01-29,31.4,20.5,SAN FERNANDO AERO
2024-01-29,40.7,22.7,SAN JUAN AERO
2024-01-29,25.4,12.6,SAN JULIAN AERO
2024-01-29,38,22.5,SAN LUIS AERO
2024-01-29,39.2,21.7,SAN MARTIN (MZA)
2024-01-29,35.5,18.4,SAN RAFAEL AERO
2024-01-29,28.8,11,SANTA CRUZ AERO
2024-01-29,38.5,20.5,SANTA ROSA AERO
2024-01-29,36.3,,SANTA ROSA DE CONLARA AERO
2024-01-29,39.7,19.8,SANTIAGO DEL ESTERO AERO
2024-01-29,32.8,18.2,SAUCE VIEJO AERO
2024-01-29,34.8,17.6,SUNCHALES AERO
2024-01-29,31.6,16,TANDIL AERO
2024-01-29,,22.5,TARTAGAL AERO
2024-01-29,36.7,22.5,TERMAS DE RIO HONDO AERO
2024-01-29,38,20,TINOGASTA
2024-01-29,26,17,TRELEW AERO
2024-01-29,36.1,19.9,TRENQUE LAUQUEN
2024-01-29,34.9,19.3,TRES ARROYOS
2024-01-29,34.2,20,TUCUMAN AERO
2024-01-29,15.4,10,USHUAIA AERO
2024-01-29,33,16.5,USPALLATA
2024-01-29,32.4,16,VENADO TUERTO AERO
2024-01-29,39.7,19.3,VICTORICA
2024-01-29,,22,VIEDMA AERO
2024-01-29,37,14.1,VILLA DE MARIA DEL RIO SECO
2024-01-29,38,20.6,VILLA DOLORES AERO
2024-01-29,28.6,15.3,VILLA GESELL AERO
2024-01-29,35.3,17.8,VILLA REYNOLDS AERO
2024-01-28,27.9,22.3,AEROPARQUE AERO
2024-01-28,31.6,14.3,AZUL AERO
2024-01-28,36.6,19.2,BAHIA BLANCA AERO
2024-01-28,27.4,10.4,BARILOCHE AERO
2024-01-28,-3,-8.1,BASE BELGRANO II
2024-01-28,3,0.4,BASE CARLINI (EX JUBANY)
2024-01-28,3.7,-1.9,BASE ESPERANZA
2024-01-28,-0.2,,BASE MARAMBIO
2024-01-28,4.2,0.5,BASE ORCADAS
2024-01-28,5.8,-0.1,BASE SAN MARTIN
2024-01-28,31.4,16.7,BENITO JUAREZ AERO
2024-01-28,27.3,16.2,BERNARDO DE IRIGOYEN AERO
2024-01-28,32.7,13,BOLIVAR AERO
2024-01-28,29.4,22.3,BUENOS AIRES OBSERVATORIO
2024-01-28,,,CAMPO DE MAYO AERO
2024-01-28,38,25.4,CATAMARCA AERO
2024-01-28,33.2,17.4,CERES AERO
2024-01-28,,21.2,CHAMICAL AERO
2024-01-28,28.6,10.4,CHAPELCO AERO
2024-01-28,37,25,CHEPES
2024-01-28,41.6,22.4,CIPOLLETTI
2024-01-28,25.7,14.4,COMODORO RIVADAVIA AERO
2024-01-28,31.5,19.2,CONCORDIA AERO
2024-01-28,32.9,15.5,CORDOBA AERO
